>PDB:1EVY_A mol:protein length:366     Glycerol-3-Phosphate Dehydrogenase
>PDB:1OCC_K mol:protein length:56     Cytochrome C Oxidase
>PDB:1OCC_L mol:protein length:47     Cytochrome C Oxidase
>PDB:1OCC_M mol:protein length:46     Cytochrome C Oxidase
>PDB:1OC0_B mol:protein length:51     Vitronectin
>PDB:1OCS_A mol:protein-het length:162     Sorting Nexin Grd19
>PDB:1OC3_A mol:protein length:172     Peroxiredoxin 5
>PDB:1ODD_  mol:protein length:118     Transcriptional Regulatory Protein Ompr
>PDB:1OD0_A mol:protein length:468     Beta-Glucosidase A
>PDB:1ODJ_A mol:protein length:235     Purine Nucleoside Phosphorylase
>PDB:1ODE_A mol:protein length:122     Chorismate Mutase
>PDB:1OD2_A mol:protein-het length:805     Acetyl-Coenzyme A Carboxylase
>PDB:1OD7_A mol:protein length:119     Sialoadhesin
>PDB:1ODH_A mol:protein length:174     Mgcm1
>PDB:1OD5_A mol:protein length:492     Glycinin
>PDB:1ODF_A mol:protein length:290     Hypothetical 33.3 Kda Protein In Ade3-Ser2 I
>PDB:1OEF_  mol:protein length:24     Apolipoprotein E
>PDB:1OEB_C mol:protein length:13     Lymphocyte Cytosolic Protein 2
>PDB:1OE4_A mol:protein length:247     Single-Strand Selective Monofunctional Uraci
>PDB:1OED_A mol:protein length:227     Acetylcholine Receptor Protein, Alpha Chain
>PDB:1OED_B mol:protein length:250     Acetylcholine Receptor Protein, Beta Chain
>PDB:1OED_C mol:protein length:260     Acetylcholine Receptor Protein, Delta Chain
>PDB:1OEY_A mol:protein-het length:83     Neutrophil Cytosol Factor 2
>PDB:1OEY_J mol:protein-het length:107     Neutrophil Cytosol Factor 4
>PDB:1OE9_A mol:protein length:795     Myosin Va
>PDB:1OF3_A mol:protein-het length:179     Beta-Mannosidase
>PDB:1OFD_A mol:protein-het length:3027     Ferredoxin-Dependent Glutamate Synthase
>PDB:1OF5_A mol:protein length:221     Mrna Export Factor Mex67
>PDB:1OF5_B mol:protein length:184     Mrna Transport Regulator Mtr2
>PDB:1OFT_A mol:protein length:161     Hypothetical Protein Pa3008
>PDB:1OFC_X mol:protein length:304     Iswi Protein
>PDB:1OFW_A mol:protein length:296     Nine-Heme Cytochrome C
>PDB:1OF9_A mol:protein length:77     Pore-Forming Peptide Ameobapore A
>PDB:1OF1_A mol:protein length:376     Thymidine Kinase
>PDB:1OHT_A mol:protein-het length:215     Cg14704 Protein
>PDB:1OHC_A mol:protein length:348     Cdc14B2 Phosphatase
>PDB:1OHU_A mol:protein-het length:175     Apoptosis Regulator Ced-9
>PDB:1OHM_A mol:protein length:44     Bacteriocin Sakacin P
>PDB:1OHV_A mol:protein length:472     4-Aminobutyrate Aminotransferase
>PDB:1OH1_A mol:protein length:109     Staphostatin A
>PDB:1OHZ_A mol:protein length:162     Cellulosomal Scaffolding Protein A
>PDB:1OHG_A mol:protein length:282     Major Capsid Protein
>PDB:1OHF_A mol:protein length:644     Nudaurelia Capensis Omega Virus Capsid Prote
>PDB:1OI3_A mol:protein length:366     Hypothetical Protein Ycgt
>PDB:1OIG_A mol:protein length:24     Dumpy
>PDB:1OI4_A mol:protein length:193     Hypothetical Protein Yhbo
>PDB:1OIO_A mol:protein length:178     Fimbrial Lectin
>PDB:1OIP_A mol:protein length:278     Alpha-Tocopherol Transfer Protein
>PDB:1OIH_A mol:protein length:301     Putative Alkylsulfatase Atsk
>PDB:1OJ4_A mol:protein-het length:283     4-Diphosphocytidyl-2-C-Methyl-D-Erythrit
>PDB:1OJG_A mol:protein length:136     Sensor Protein Dcus
>PDB:1OJQ_A mol:protein length:212     ADP-Ribosyltransferase
>PDB:1OJX_A mol:protein length:263     Fructose-Bisphosphate Aldolase Class I
>PDB:1OJ6_A mol:protein length:151     Neuroglobin
>PDB:1OJV_A mol:protein length:254     Complement Decay-Accelerating Factor
>PDB:1OJ5_A mol:protein length:132     Steroid Receptor Coactivator 1A
>PDB:1OJ5_B mol:protein length:14     Signal Transducer and Activator Of Transcript
>PDB:1OJ7_A mol:protein length:408     Hypothetical Oxidoreductase Yqhd
>PDB:1OJH_A mol:protein-het length:65     Nbla
>PDB:1OJS_A mol:protein length:294     Malate Dehydrogenase
>PDB:1OKD_A mol:protein length:154     Tryparedoxin 1
>PDB:1OKS_A mol:protein-het length:56     RNA Polymerase Alpha Subunit
>PDB:1OKG_A mol:protein-het length:373     Possible 3-Mercaptopyruvate Sulfurtransf
>PDB:1OKC_A mol:protein length:297     ADP, ATP Carrier Protein Heart Isoform T1
>PDB:1OKT_A mol:protein length:211     Glutathione S-Transferase
>PDB:1OKI_A mol:protein-het length:210     Beta Crystallin B1
>PDB:1OKY_A mol:protein-het length:310     3-Phosphoinositide Dependent Protein Kin
>PDB:1OKJ_A mol:protein length:251     Hypothetical Protease Yeaz
>PDB:1OLG_A mol:protein length:42     P53 (Oligomerization Domain) (NMR, Minimized
>PDB:1OLZ_A mol:protein length:663     Semaphorin 4D
>PDB:1OL5_B mol:protein length:43     Restricted Expression Proliferation Associate
>PDB:1OLR_A mol:protein-het length:224     Endo-Beta-1,4-Glucanase
>PDB:1OLT_A mol:protein length:457     Oxygen-Independent Coproporphyrinogen III Ox
>PDB:1OLM_A mol:protein length:403     Sec14-Like Protein 2
>PDB:1OM2_A mol:protein length:95     Mitochondrial Import Receptor Subunit Tom20
>PDB:1OMI_A mol:protein length:248     Listeriolysin Regulatory Protein
>PDB:1OMX_A mol:protein length:293     Alpha-1,4-N-Acetylhexosaminyltransferase Ext
>PDB:1OM0_A mol:protein length:274     Xylanase Inhibitor Protein I
>PDB:1OMW_A mol:protein length:689     G-Protein Coupled Receptor Kinase 2
>PDB:1OM9_P mol:protein length:15     15-Mer Peptide Fragment Of P56
>PDB:1OMH_A mol:protein-het length:293     Trwc Protein
>PDB:1ONT_  mol:protein-het length:22     Conantokin-T
>PDB:1ONF_A mol:protein length:500     Glutathione Reductase
>PDB:1ONW_A mol:protein-het length:390     Isoaspartyl Dipeptidase
>PDB:1ONV_B mol:protein length:83     Serine Phosphatase Fcp1A
>PDB:1ON2_A mol:protein length:142     Transcriptional Regulator Mntr
>PDB:1ON4_A mol:protein length:174     Sco1
>PDB:1OPO_A mol:protein length:348     Coat Protein
>PDB:1OPL_A mol:protein length:537     Proto-Oncogene Tyrosine-Protein Kinase
>PDB:1OP4_A mol:protein length:159     Neural-Cadherin
>PDB:1OPI_A mol:protein length:104     Splicing Factor U2Af 65 Kda Subunit
>PDB:1OPI_B mol:protein length:13     Splicing Factor Sf1
>PDB:1ORC_  mol:protein length:71     Cro Repressor Insertion Mutant K56-[Dgevk]
>PDB:1OR7_A mol:protein length:194     RNA Polymerase Sigma-E Factor
>PDB:1OR7_C mol:protein length:90     Sigma-E Factor Negative Regulatory Protein
>PDB:1ORM_A mol:protein length:148     Outer Membrane Protein X
>PDB:1ORQ_C mol:protein length:223     Potassium Channel
>PDB:1ORN_A mol:protein length:226     Endonuclease III
>PDB:1ORH_A mol:protein length:353     Protein Arginine N-Methyltransferase 1
>PDB:1ORR_A mol:protein length:347     Cdp-Tyvelose-2-Epimerase
>PDB:1ORJ_A mol:protein length:130     Flagellar Protein Flis
>PDB:1OR4_A mol:protein length:178     Heme-Based Aerotactic Transducer Hemat
>PDB:1ORU_A mol:protein-het length:195     Yuad Protein
>PDB:1ORE_A mol:protein length:180     Adenine Phosphoribosyltransferase
>PDB:1OSM_A mol:protein length:342     Ompk36
>PDB:1OSG_A mol:protein length:208     Tumor Necrosis Factor Ligand Superfamily Mem
>PDB:1OSN_A mol:protein length:341     Thymidine Kinase
>PDB:1OSH_A mol:protein length:232     Bile Acid Receptor
>PDB:1OSY_A mol:protein-het length:115     Immunomodulatory Protein Fip-Fve
>PDB:1OS6_A mol:protein length:71     Ppca
>PDB:1OTG_A mol:protein length:125     5-Carboxymethyl-2-Hydroxymuconate Isomerase
>PDB:1OT3_A mol:protein length:250     Deoxyribonucleoside Kinase
>PDB:1OTR_A mol:protein length:49     Protein Cue2
>PDB:1OTK_A mol:protein length:249     Phenylacetic Acid Degradation Protein Paac
>PDB:1OT8_A mol:protein length:239     Neurogenic Locus Notch Protein
>PDB:1OTV_A mol:protein length:259     Coenzyme Pqq Synthesis Protein C
>PDB:1OU5_A mol:protein length:344     tRNA Cca-Adding Enzyme
>PDB:1OUP_A mol:protein length:213     Nuclease
>PDB:1OU8_C mol:protein length:11     Synthetic Ssra Peptide
>PDB:1OU9_A mol:protein-het length:129     Stringent Starvation Protein B Homolog
>PDB:1OU0_A mol:protein-het length:207     Precorrin-8X Methylmutase Related Protei
>PDB:1OUW_A mol:protein-het length:152     Lectin
>PDB:1OUV_A mol:protein length:273     Conserved Hypothetical Secreted Protein
>PDB:1OVA_A mol:protein-het length:386     Ovalbumin (Egg Albumin) - Chain A
>PDB:2OVW_A mol:protein-het length:411     Endoglucanase I
>PDB:1OVL_A mol:protein-het length:271     Orphan Nuclear Receptor Nurr1 (Mse 414,
>PDB:1OVM_A mol:protein length:552     Indole-3-Pyruvate Decarboxylase
>PDB:1OV8_A mol:protein length:140     Auracyanin B
>PDB:1OVX_A mol:protein length:67     ATP-Dependent Clp Protease ATP-Binding Subuni
>PDB:1OVY_A mol:protein length:120     50S Ribosomal Protein L18
>PDB:1OVN_A mol:protein length:248     Windbeutel
>PDB:1OV2_A mol:protein length:99     Alpha-2-Macroglobulin Receptor-Associated Pro
>PDB:1OXH_A mol:protein length:430     Beta Ketoacyl-Acyl Carrier Protein Synthase
>PDB:1OXW_A mol:protein-het length:373     Patatin
>PDB:1OXZ_A mol:protein length:186     ADP-Ribosylation Factor Binding Protein Gga1
>PDB:1OXS_C mol:protein length:353     Abc Transporter, ATP Binding Protein
>PDB:1OXJ_A mol:protein length:173     RNA-Binding Protein Smaug
>PDB:1OX7_A mol:protein-het length:161     Cytosine Deaminase
>PDB:1OXQ_A mol:protein length:140     Baculoviral Iap Repeat-Containing Protein 7
>PDB:1OXB_B mol:protein length:134     Sln1
>PDB:1OX3_A mol:protein length:109     Fibritin
>PDB:1OYA_  mol:protein length:400     Old Yellow Enzyme (Oxidized) (Oye) (E.C. 1.6
>PDB:1OYJ_A mol:protein length:231     Glutathione S-Transferase
>PDB:1OY0_A mol:protein length:281     Ketopantoate Hydroxymethyltransferase
>PDB:1OYW_A mol:protein-het length:523     ATP-Dependent DNA Helicase
>PDB:1OYV_I mol:protein length:123     Wound-Induced Proteinase Inhibitor-II
>PDB:1OYZ_A mol:protein-het length:280     Hypothetical Protein Yiba
>PDB:1OYX_A mol:protein-het length:331     Lethal(3)Malignant Brain Tumor-Like Prot
>PDB:1OYG_A mol:protein length:447     Levansucrase
>PDB:1OY5_A mol:protein length:257     tRNA (Guanine-N(1)-)-Methyltransferase
>PDB:1OYI_A mol:protein length:82     Double-Stranded RNA-Binding Protein
>PDB:1OY2_A mol:protein length:207     Shc Transforming Protein
>PDB:1P0T_A mol:protein length:63     Tumor Necrosis Factor Receptor Superfamily Me
>PDB:1P0K_A mol:protein length:349     Isopentenyl-Diphosphate Delta-Isomerase
>PDB:1P0Z_A mol:protein length:131     Sensor Kinase Cita
>PDB:1P0H_A mol:protein length:318     Hypothetical Protein Rv0819
>PDB:1P1L_A mol:protein length:102     Periplasmic Divalent Cation Tolerance Protei
>PDB:1P16_A mol:protein-het length:395     Mrna Capping Enzyme Alpha Subunit
>PDB:1P1T_A mol:protein length:104     Cleavage Stimulation Factor, 64 Kda Subunit
>PDB:1P1D_A mol:protein length:196     Glutamate Receptor Interacting Protein
>PDB:1P23_A mol:protein length:14     Transmembrane Protein Tmp21 Precursor
>PDB:1P2F_A mol:protein-het length:220     Response Regulator
>PDB:1P22_A mol:protein length:435     F-Box/Wd-Repeat Protein 1A
>PDB:1P22_C mol:protein-het length:26     Beta-Catenin
>PDB:1P28_A mol:protein length:129     Pheromone Binding Protein
>PDB:1P2Y_A mol:protein length:420     Cytochrome P450-Cam
>PDB:1P2Z_A mol:protein-het length:968     Hexon Protein
>PDB:1P32_A mol:protein length:209     Mitochondrial Matrix Protein, Sf2P32
>PDB:1P3W_B mol:protein length:404     Cysteine Desulfurase
>PDB:1P3R_A mol:protein length:160     Disabled Homolog 2
>PDB:1P3Y_1 mol:protein length:194     Mrsd Protein
>PDB:1P3C_A mol:protein length:215     Glutamyl-Endopeptidase
>PDB:1PAN_  mol:protein-het length:18     Pao Pilin, Trans
>PDB:2PAS_  mol:protein-het length:110     Parvalbumin (Alpha Lineage, Pi 5.0) Comp
>PDB:1PAV_A mol:protein length:78     Hypothetical Protein Ta1170/Ta1414
>PDB:1PAQ_A mol:protein-het length:189     Translation Initiation Factor Eif-2B Eps
>PDB:1PA4_A mol:protein length:116     Probable Ribosome-Binding Factor A
>PDB:1PB6_A mol:protein length:212     Hypothetical Transcriptional Regulator Ycdc
>PDB:1PBG_A mol:protein length:468     6-Phospho-Beta-D-Galactosidase
>PDB:1PBK_  mol:protein length:116     Fkbp25
>PDB:1PBW_A mol:protein length:216     Phosphatidylinositol 3-Kinase
>PDB:1PB5_A mol:protein length:35     Neurogenic Locus Notch Homolog Protein 1
>PDB:1PB8_A mol:protein length:292     N-Methyl-D-Aspartate Receptor Subunit 1
>PDB:1PBU_A mol:protein length:162     Elongation Factor 1-Gamma
>PDB:1PBT_A mol:protein-het length:244     6-Phosphogluconolactonase
>PDB:1PBJ_A mol:protein-het length:125     Hypothetical Protein
>PDB:1PCA_  mol:protein length:403     Procarboxypeptidase A (E.C. 3.4.12.2) - Chai
>PDB:1PCE_  mol:protein length:60     Pec-60 (Peptide With N-Terminal Glutamic Acid
>PDB:1PCF_A mol:protein length:66     Transcriptional Coactivator Pc4
>PDB:1PCH_  mol:protein length:88     Phosphocarrier Protein
>PDB:1PCI_A mol:protein length:322     Procaricain
>PDB:1PCP_  mol:protein length:106     Porcine Spasmolytic Protein (Psp) (NMR, 19 S
>PDB:1PCZ_A mol:protein length:191     Tata-Binding Protein
>PDB:1PC4_A mol:protein length:107     Ferredoxin I
>PDB:1PC2_A mol:protein length:152     Mitochondria Fission Protein
>PDB:1PC6_A mol:protein length:146     Protein Ninb
>PDB:1PC3_A mol:protein length:350     Phosphate-Binding Protein 1
>PDB:1PD2_1 mol:protein length:199     Hematopoietic Prostagladin D Synthase
>PDB:1PDG_A mol:protein length:109     Platelet-Derived Growth Factor Bb - Chain A
>PDB:1PDK_B mol:protein length:157     Protein Papk
>PDB:1PDO_  mol:protein length:135     Mannose Permease
>PDB:1PD6_A mol:protein length:104     Myosin-Binding Protein C, Cardiac-Type, Doma
>PDB:1PDV_A mol:protein-het length:197     Dj-1
>PDB:1PDQ_A mol:protein length:72     Polycomb Protein
>PDB:1PDM_A mol:protein length:334     Baseplate Structural Protein Gp8
>PDB:1PDP_A mol:protein length:288     Baseplate Structural Protein Gp9
>PDB:1PD3_A mol:protein length:58     Nonstructural Protein Ns2
>PDB:1PD7_B mol:protein length:24     Mad1
>PDB:1PEA_  mol:protein length:385     Amidase Operon
>PDB:1PEH_  mol:protein-het length:35     Pepnh1
>PDB:1PEI_  mol:protein-het length:24     Pepc22
>PDB:1PE4_A mol:protein length:67     Neurotoxin Cn11
>PDB:1PEM_A mol:protein length:714     Ribonucleoside-Diphosphate Reductase 2 Alpha
>PDB:1PFK_A mol:protein length:320     Phosphofructokinase (E.C. 2.7.1.11) (R-State
>PDB:1PFO_  mol:protein length:500     Perfringolysin O
>PDB:1PFS_A mol:protein length:78     Pf3 Single-Stranded DNA Binding Protein
>PDB:1PFT_  mol:protein length:50     TfIIb
>PDB:2PF1_  mol:protein-het length:156     Prothrombin Fragment 1 (Residues 1 - 156
>PDB:1PFZ_A mol:protein length:380     Proplasmepsin II
>PDB:1PF3_A mol:protein length:498     Blue Copper Oxidase Cueo
>PDB:1PF5_A mol:protein length:131     Hypothetical Protein Yjgh
>PDB:1PFJ_A mol:protein length:108     Tfiih Basal Transcription Factor Complex P62
>PDB:1PGJ_A mol:protein length:478     6-Phosphogluconate Dehydrogenase
>PDB:1PGN_  mol:protein length:482     6-Phosphogluconate Dehydrogenase (6-Pgdh) (E
>PDB:1PGS_  mol:protein length:314     Peptide-N(4)-(N-Acetyl-Beta-D-Glucosaminyl)
>PDB:3PGA_1 mol:protein-het length:337     Glutaminase-Asparaginase (E.C. 3.5.1.1)
>PDB:1PGV_A mol:protein length:197     Tropomodulin Tmd-1
>PDB:1PGU_A mol:protein-het length:615     Actin Interacting Protein 1
>PDB:1PG6_A mol:protein-het length:243     Hypothetical Protein Spym3_0169
>PDB:1PGY_A mol:protein length:47     Swa2P
>PDB:1PG5_B mol:protein length:168     Aspartate Carbamoyltransferase Regulatory Ch
>PDB:1PHK_  mol:protein length:298     Phosphorylase Kinase
>PDB:1PHZ_A mol:protein length:429     Phenylalanine Hydroxylase
>PDB:1PIH_  mol:protein length:73     High Potential Iron Sulfur Protein Insertion
>PDB:1PII_  mol:protein length:452     N-(5'Phosphoribosyl)Anthranilate Isomerase (
>PDB:2PIA_  mol:protein length:321     Phthalate Dioxygenase Reductase (E.C. 1.18.1
>PDB:1PIX_A mol:protein length:587     Glutaconyl-Coa Decarboxylase A Subunit
>PDB:1PIE_A mol:protein length:419     Galactokinase
>PDB:1PI7_A mol:protein length:36     Vpu Protein
>PDB:1PIW_A mol:protein length:360     Hypothetical Zinc-Type Alcohol Dehydrogenase
>PDB:1PJB_A mol:protein length:361     L-Alanine Dehydrogenase
>PDB:1PJR_  mol:protein length:724     Pcra
>PDB:1PJM_A mol:protein length:20     Retinoblastoma-Associated Protein
>PDB:1PJN_A mol:protein length:21     Histone-Binding Protein N1/N2
>PDB:1PJA_A mol:protein length:302     Palmitoyl-Protein Thioesterase 2 Precursor
>PDB:1PJD_A mol:protein length:18     Pheromone Alpha Factor Receptor
>PDB:1PJ5_A mol:protein length:830     N, N-Dimethylglycine Oxidase
>PDB:1PJZ_A mol:protein length:203     Thiopurine S-Methyltransferase
>PDB:1PJQ_A mol:protein-het length:457     Siroheme Synthase
>PDB:1PJV_A mol:protein length:32     Cobatoxin 1
>PDB:1PK5_A mol:protein length:248     Orphan Nuclear Receptor Nr5A2
>PDB:1PKO_A mol:protein-het length:139     Myelin Oligodendrocyte Glycoprotein
>PDB:1PKH_A mol:protein length:204     Bifunctional Deaminase/Diphosphatase
>PDB:1PK6_A mol:protein length:133     Complement C1Q Subcomponent, A Chain Precurs
>PDB:1PKF_A mol:protein length:419     Cytochrome P450Epok
>PDB:1PK8_A mol:protein length:422     Rat Synapsin I
>PDB:1PLS_  mol:protein length:113     Pleckstrin (N-Terminal Pleckstrin Homology D
>PDB:2PLD_A mol:protein length:105     Phospholipase C-Gamma-1 (E.C. 3.1.4.11) (C-T
>PDB:2PLD_B mol:protein length:12     Phospholipase C-Gamma-1 (E.C. 3.1.4.11) (C-Te
>PDB:1PL6_A mol:protein-het length:356     Sorbitol Dehydrogenase
>PDB:1PMA_A mol:protein length:233     Proteasome
>PDB:1PMA_B mol:protein length:211     Proteasome
>PDB:1PME_  mol:protein-het length:380     Erk2
>PDB:1PMI_  mol:protein length:440     Phosphomannose Isomerase
>PDB:1PMR_  mol:protein length:80     Dihydrolipoyl Succinyltransferase
>PDB:1PMT_  mol:protein length:203     Glutathione Transferase
>PDB:1PM3_A mol:protein length:97     Mth1895
>PDB:1PMM_A mol:protein length:466     Glutamate Decarboxylase Beta
>PDB:1PM6_A mol:protein length:72     Excisionase
>PDB:1PM4_A mol:protein length:119     Ypm
>PDB:1PMH_X mol:protein-het length:185     Beta-1,4-Mannanase
>PDB:1PMZ_A mol:protein length:86     Pollen Allergen Che A 3
>PDB:1PNB_A mol:protein length:31     Napin Bnib
>PDB:1PNB_B mol:protein length:75     Napin Bnib
>PDB:1PNJ_  mol:protein length:86     Phosphatidylinositol 3-Kinase (P85-Alpha Subu
>PDB:1PN0_A mol:protein length:665     Phenol 2-Monooxygenase
>PDB:1PN2_A mol:protein-het length:280     Peroxisomal Hydratase-Dehydrogenase-Epim
>PDB:1PN5_A mol:protein length:159     Nacht-, Lrr- and Pyd-Containing Protein 2
>PDB:1POC_  mol:protein length:134     Phospholipase A2 (E.C. 3.1.1.4) Complex With
>PDB:1POI_A mol:protein length:317     Glutaconate Coenzyme A-Transferase
>PDB:1POI_B mol:protein length:260     Glutaconate Coenzyme A-Transferase
>PDB:1POO_A mol:protein length:355     Phytase
>PDB:1POT_  mol:protein length:325     Spermidine/Putrescine-Binding Protein
>PDB:1POV_0 mol:protein-het length:341     Poliovirus Native Empty Capsid (Type 1)
>PDB:2POR_  mol:protein length:301     Porin (Crystal Form B) - Chain _
>PDB:1POZ_A mol:protein length:159     Cd44 Antigen
>PDB:1PPR_M mol:protein length:312     Peridinin-Chlorophyll Protein
>PDB:1PP8_U mol:protein length:132     39 Kda Initiator Binding Protein
>PDB:1PRC_H mol:protein-het length:259     Photosynthetic Reaction Center - Chain H
>PDB:1PRE_A mol:protein length:470     Proaerolysin
>PDB:1PRR_  mol:protein length:173     Development-Specific Protein S (Spore Coat P
>PDB:1PRX_A mol:protein-het length:224     Horf6
>PDB:2PRD_  mol:protein length:174     Pyrophosphate Phosphohydrolase
>PDB:2PRG_C mol:protein length:88     Nuclear Receptor Coactivator Src-1
>PDB:2PRO_A mol:protein length:166     Alpha-Lytic Protease
>PDB:8PRK_A mol:protein length:287     Inorganic Pyrophosphatase
>PDB:1PSC_A mol:protein length:365     Phosphotriesterase
>PDB:1PSD_A mol:protein length:409     D-3-Phosphoglycerate Dehydrogenase (Phosphog
>PDB:1PSM_  mol:protein length:38     Spam-H1 (Residues 90 - 127 Of The Secreted Po
>PDB:1PSR_A mol:protein length:100     Psoriasin
>PDB:1PSZ_A mol:protein length:303     Surface Antigen Psaa
>PDB:2PSG_  mol:protein length:370     Pepsinogen - Chain _
>PDB:1PSU_A mol:protein-het length:140     Phenylacetic Acid Degradation Protein Pa
>PDB:1PSW_A mol:protein-het length:348     ADP-Heptose Lps Heptosyltransferase II
>PDB:1PS9_A mol:protein length:671     2,4-Dienoyl-Coa Reductase
>PDB:1PS7_A mol:protein-het length:329     4-Hydroxythreonine-4-Phosphate Dehydroge
>PDB:1PSB_C mol:protein length:26     Ndr Ser/Thr Kinase-Like Protein
>PDB:1PSY_A mol:protein length:125     2S Albumin
>PDB:1PTO_A mol:protein length:244     Pertussis Toxin
>PDB:2PTH_  mol:protein length:193     Peptidyl-tRNA Hydrolase
>PDB:2PTL_  mol:protein length:78     Protein L (B1 Domain) (NMR, 21 Structures) -
>PDB:1PT5_A mol:protein length:437     Hypothetical Protein Yfdw
>PDB:1PT0_A mol:protein length:144     Aspartate 1-Decarboxylase
>PDB:1PT6_A mol:protein length:213     Integrin Alpha-1
>PDB:1PUE_E mol:protein length:89     Transcription Factor Pu.1
>PDB:1PUI_A mol:protein length:210     Probable GTP-Binding Protein Engb
>PDB:1PUJ_A mol:protein length:282     Conserved Hypothetical Protein Ylqf
>PDB:1PU6_A mol:protein-het length:218     3-Methyladenine DNA Glycosylase
>PDB:1PUO_A mol:protein length:170     Major Allergen I Polypeptide, Fused Chain 2,
>PDB:1PU1_A mol:protein length:94     Hypothetical Protein Mth677
>PDB:1PUZ_A mol:protein length:82     Conserved Hypothetical Protein
>PDB:1PVL_  mol:protein length:301     Leucocidin
>PDB:3PVA_A mol:protein length:335     Penicillin V Acylase
>PDB:1PV6_A mol:protein length:417     Lactose Permease
>PDB:1PVG_A mol:protein-het length:418     DNA Topoisomerase II
>PDB:1PVT_A mol:protein-het length:238     Sugar-Phosphate Aldolase
>PDB:1PVW_A mol:protein length:227     3,4-Dihydroxy-2-Butanone 4-Phosphate Synthas
>PDB:1PV5_A mol:protein-het length:264     Hypothetical Protein Ywqg
>PDB:1PVM_A mol:protein length:184     Conserved Hypothetical Protein Ta0289
>PDB:1PV9_A mol:protein length:348     Xaa-Pro Dipeptidase
>PDB:1PV0_A mol:protein length:46     Sda
>PDB:1PVZ_A mol:protein length:31     K+ Toxin-Like Peptide
>PDB:1PW4_A mol:protein length:451     Glycerol-3-Phosphate Transporter
>PDB:1PW9_A mol:protein length:177     Pulmonary Surfactant-Associated Protein D
>PDB:1PWX_A mol:protein length:254     Halohydrin Dehalogenase
>PDB:1PWA_A mol:protein length:162     Fibroblast Growth Factor-19
>PDB:1PXX_A mol:protein length:604     Prostaglandin G/H Synthase 2
>PDB:1PXV_A mol:protein length:183     Cysteine Protease
>PDB:1PX5_A mol:protein-het length:349     2'-5'-Oligoadenylate Synthetase 1
>PDB:1PX8_A mol:protein length:500     Beta-Xylosidase
>PDB:1PXW_A mol:protein length:128     Lsu Ribosomal Protein L7Ae
>PDB:1PXE_A mol:protein length:63     Neural Zinc Finger Transcription Factor 1
>PDB:1PXQ_A mol:protein length:35     Subtilosin A
>PDB:1PYI_A mol:protein length:96     Pyrimidine Pathway Regulator 1 (Ppr1) (Residu
>PDB:1PYM_A mol:protein-het length:295     Phosphoenolpyruvate Mutase
>PDB:1PYT_C mol:protein length:253     Proproteinase E
>PDB:1PYO_A mol:protein length:167     Caspase-2
>PDB:1PYO_B mol:protein length:105     Caspase-2
>PDB:1PYY_A mol:protein length:702     Penicillin-Binding Protein 2X
>PDB:1PYW_C mol:protein-het length:11     9-Residue Influenza Virus Hemagglutinin R
>PDB:1PYF_A mol:protein-het length:312     Iols Protein
>PDB:1PYV_A mol:protein length:54     ATP Synthase Beta Chain, Mitochondrial Precur
>PDB:1PZN_A mol:protein-het length:349     DNA Repair and Recombination Protein Rad
>PDB:1PZ4_A mol:protein length:116     Sterol Carrier Protein 2
>PDB:1PZ2_A mol:protein length:502     Alpha-L-Arabinofuranosidase
>PDB:1PZD_A mol:protein length:322     Coatomer Gamma Subunit
>PDB:1PZW_A mol:protein length:80     Transcription Factor Grauzone
>PDB:1PZX_A mol:protein length:289     Hypothetical Protein Apc36103
>PDB:1PZE_A mol:protein length:331     Lactate Dehydrogenase
>PDB:1PZQ_A mol:protein length:60     Erythronolide Synthase
>PDB:1PZR_A mol:protein length:60     Erythronolide Synthase
>PDB:1PZ1_A mol:protein-het length:333     General Stress Protein 69
>PDB:1PZ7_A mol:protein length:204     Agrin
>PDB:1PZS_A mol:protein length:208     Superoxide Dismutase [Cu-Zn]
>PDB:4Q21_  mol:protein length:189     c-H-Ras p21 Protein Catalytic Domain Complex
>PDB:1Q2W_A mol:protein length:308     Nonstructural Polyprotein Pp1A
>PDB:1Q27_A mol:protein length:171     Putative Nudix Hydrolase Dr0079
>PDB:1Q2Y_A mol:protein length:140     Similar To Hypothetical Proteins
>PDB:1Q2V_A mol:protein length:548     Thermosome Alpha Subunit
>PDB:1Q2J_A mol:protein-het length:22     Mu-Conotoxin Smiiia
>PDB:1Q2F_A mol:protein length:32     Pnc27
>PDB:1Q25_A mol:protein length:432     Cation-Independent Mannose 6-Phosphate Recep
>PDB:1Q2H_A mol:protein length:69     Adaptor Protein With Pleckstrin Homology and
>PDB:1QA5_A mol:protein-het length:58     Myristoylated Hiv-1 Nef Anchor Domain (My
>PDB:1QAP_A mol:protein length:296     Quinolinic Acid Phosphoribosyltransferase
>PDB:1QAX_A mol:protein length:428     3-Hydroxy-3-Methylglutaryl-Coenzyme A Reduct
>PDB:1QB3_A mol:protein length:150     Cyclin-Dependent Kinases Regulatory Subunit
>PDB:1QB7_A mol:protein length:236     Adenine Phosphoribosyltransferase
>PDB:1QBE_A mol:protein length:132     Bacteriophage Q Beta Capsid
>PDB:1QBJ_A mol:protein length:81     Double-Stranded RNA Specific Adenosine Deamin
>PDB:1QBK_B mol:protein-het length:890     Karyopherin Beta2
>PDB:1QB5_D mol:protein length:99     Heat Labile Enterotoxin Type Iib B-Pentamer
